X,Y,OBJECTID,PROPERTY_NAME,COURT_TYPE
-112.143858336041,33.3737831065312,8,Cesar Chavez Park,1
-112.132450988929,33.5030860847971,9,Cielito Park,1
-112.132613308378,33.503085801997,10,Cielito Park,1
-112.056311479617,33.3711551821725,11,Circle K Park,1
-112.102557944204,33.6640632686615,12,Deer Valley Park,1
-112.102400328269,33.6640635055915,13,Deer Valley Park,1
-112.102397906404,33.6636415074797,14,Deer Valley Park,1
-112.102555517765,33.6636400028147,15,Deer Valley Park,1
-112.060125240933,33.3061153589322,16,Desert Foothills Park,1
-112.060270053429,33.3060579323404,17,Desert Foothills Park,1
-112.202003045721,33.4762147294313,21,Desert West Park,1
-111.982356514262,33.7423994555775,23,Dynamite Park,3
-112.010633596265,33.3982172121088,25,Esteban Park,1
-111.956184577956,33.4912455343191,26,G.R. Herberger Park,2
-111.956342202679,33.491226677285,27,G.R. Herberger Park,2
-111.956524411631,33.4911546896403,28,G.R. Herberger Park,1
-111.956680812422,33.4911403049801,29,G.R. Herberger Park,1
-112.143474065543,33.5366836179838,30,La Pradera Park,3
-112.143631988945,33.5366833286527,31,La Pradera Park,3
-112.051338776598,33.4987214713441,32,Madison Park,1
-112.051499378373,33.4987198657,33,Madison Park,1
-112.128059680483,33.5485487006479,34,Mariposa Park,1
-112.128216960384,33.5485498639024,35,Mariposa Park,1
-112.128216088317,33.5481920091108,36,Mariposa Park,1
-112.128057099007,33.5481908487722,37,Mariposa Park,1
-111.979380431009,33.2926888395242,40,Pecos Park,3
-111.979572080927,33.2926895984105,41,Pecos Park,3
-111.983747208928,33.4696890346956,43,Pierce Park,1
-111.984003540566,33.469935411138,44,Pierce Park,1
-112.007842559936,33.5977712805746,46,Roadrunner Park,1
-112.00819837632,33.5974036689641,50,Roadrunner Park,1
-112.008352091954,33.597404791358,51,Roadrunner Park,1
-111.939977589055,33.6156487041936,60,Sandpiper Park,1
-111.940135843352,33.6156462884301,61,Sandpiper Park,1
-112.093563287278,33.5178800748233,62,Solano Park,3
-112.093720511405,33.5178812811844,63,Solano Park,3
-111.986557636754,33.353195630027,64,Western Star Park,1
-111.98671570403,33.3532022208705,65,Western Star Park,1
-112.091105488262,33.4728736923675,69,Encanto Park,1
-112.091104790356,33.4725253750459,70,Encanto Park,1
-112.105682534649,33.530000047559,98,Washington Park,1
-112.043145381358,33.6179147384039,99,Lookout Mountain Park,1
-112.043307823347,33.6178508741607,100,Lookout Mountain Park,1
-112.034775557128,33.5314949844835,101,Granada Park,1
-112.034946475035,33.5314933903893,102,Granada Park,1
-112.035134482966,33.5314903478304,103,Granada Park,1
-112.035300268811,33.5314858943918,104,Granada Park,1
-111.983882031588,33.3864813374926,105,Nevitt Park,1
-111.984022428066,33.3864213706461,106,Nevitt Park,1
-112.081051002812,33.6265274722707,107,Moon Valley Park,1
-112.08120328636,33.6265323651352,108,Moon Valley Park,1
-112.056057246911,33.4690045262249,112,Coronado Park,1
-112.079099450688,33.4346104215682,113,Harmon Park,1
-112.066907756728,33.3905919249616,115,El Reposo Park,1
-112.067093139365,33.3905917004039,116,El Reposo Park,1
-112.067252038152,33.3905915077062,117,El Reposo Park,1
-111.996530558684,33.3198939829116,118,Sun Ray Park,1
-111.996722308249,33.3198938595019,119,Sun Ray Park,1
-112.05904028915,33.6484695774176,120,Mountain View Community Center Park,1
-112.058653948245,33.6484700216978,122,Mountain View Community Center Park,1
-112.05857343428,33.6481163612104,123,Mountain View Community Center Park,1
-112.058763274204,33.6481161431758,124,Mountain View Community Center Park,1
-112.058966439825,33.6481186947781,125,Mountain View Community Center Park,1
-112.102044830831,33.6495910387312,129,Telephone Pioneers of America Park,2
-112.090445129623,33.472815960014,130,Encanto Park,2
-112.090340367486,33.4728151519423,131,Encanto Park,2
-112.090245856578,33.4728152843244,132,Encanto Park,2
-112.055904080752,33.4690028291378,136,Coronado Park,1
-111.979195013373,33.292855737554,152,Pecos Park,2
-111.978928632111,33.2928490407187,153,Pecos Park,2
-111.97919885315,33.29267983712,154,Pecos Park,2
-111.97891403939,33.292664900549,155,Pecos Park,2
-111.9791990205,33.2921799065019,156,Pecos Park,2
-111.978916956618,33.2921885234023,157,Pecos Park,2
-111.979189217745,33.2920026197474,158,Pecos Park,2
-111.978921173225,33.292007280952,159,Pecos Park,2
-111.979099169603,33.2928570896286,160,Pecos Park,2
-111.979092093597,33.2926804345267,161,Pecos Park,2
-111.97881473719,33.2928522763005,162,Pecos Park,2
-111.978805329246,33.2926659802072,163,Pecos Park,2
-111.979075983908,33.2921787924937,164,Pecos Park,2
-111.978810082287,33.2921808617281,165,Pecos Park,2
-111.979079676843,33.2919999398713,166,Pecos Park,2
-111.978803261365,33.2920056861927,167,Pecos Park,2
-112.010469978048,33.3982104468408,472,Esteban Park,1
-111.982205344466,33.7424021876902,808,Dynamite Park,3
-112.10210117073,33.6495352904906,1128,Telephone Pioneers of America Park,2
-112.102246102975,33.6496511126674,1129,Telephone Pioneers of America Park,2
-112.102175699122,33.6497014413937,1130,Telephone Pioneers of America Park,2
-112.058854611706,33.6484741254282,1144,Mountain View Community Center Park,1
-112.007996618315,33.5974069450796,1160,Roadrunner Park,1
-112.007839932631,33.5974073825356,1161,Roadrunner Park,1
-112.007999146539,33.5977712868143,1162,Roadrunner Park,1
-112.20222726337,33.4762071483012,1163,Desert West Park,1
-112.090951761089,33.4725266497956,1483,Encanto Park,1
-112.090796376958,33.4725157286066,1484,Encanto Park,1
-112.090957218631,33.4728568489431,1485,Encanto Park,1
-112.090630909178,33.4728709211458,1486,Encanto Park,1
-112.144187917237,33.3737931106277,1487,Cesar Chavez Park,1
-112.143842674825,33.374121494701,1488,Cesar Chavez Park,1
-112.144324329121,33.3741180794182,1489,Cesar Chavez Park,1
-112.090629269388,33.4725219703452,1499,Encanto Park,1
-112.144327173242,33.3737807904384,1500,Cesar Chavez Park,1
-112.144162746838,33.3741095073227,1501,Cesar Chavez Park,1
-112.090801296908,33.4728490997857,1803,Encanto Park,1
-111.983591523099,33.4696817582782,1805,Pierce Park,1
-111.984161300529,33.4699376345919,2123,Pierce Park,1
-112.144002543982,33.3737813853613,2443,Cesar Chavez Park,1
-112.144011788248,33.3741224520048,2763,Cesar Chavez Park,1
-112.110119754681,33.576371902796,3083,Rose Mofford Sports Complex,1
-112.110637860396,33.5772781346505,3084,Rose Mofford Sports Complex,2
-112.110434715083,33.5766516905544,3100,Rose Mofford Sports Complex,1
-112.110538769546,33.5772931460106,3101,Rose Mofford Sports Complex,2
-112.110262358725,33.5763178025504,3115,Rose Mofford Sports Complex,1
-112.110287561925,33.5767112911562,3116,Rose Mofford Sports Complex,1
-112.110440542466,33.5762557359899,3117,Rose Mofford Sports Complex,1
-112.110618625029,33.5765911674701,3131,Rose Mofford Sports Complex,1
-112.110756640174,33.576536108147,3132,Rose Mofford Sports Complex,1
-112.110587105211,33.5762022639557,3133,Rose Mofford Sports Complex,1
-112.110722487993,33.5772311966158,3134,Rose Mofford Sports Complex,2
-112.104229870755,33.5300607061536,3403,Washington Park,1
-112.10508870043,33.5300474732152,3404,Washington Park,1
-112.10463230449,33.5304203394466,3405,Washington Park,1
-112.1044443059,33.5304253954567,3406,Washington Park,1
-112.104426425243,33.5300604083325,3407,Washington Park,1
-112.1056809758,33.5305929000363,3408,Washington Park,1
-112.104230684622,33.5304376475892,3409,Washington Park,1
-112.104635811099,33.5300660544925,3410,Washington Park,1
-112.105268155466,33.5300436221723,3411,Washington Park,1
-112.105088492075,33.5306081171346,3412,Washington Park,1
-112.105290739145,33.5306054234119,3413,Washington Park,1
-112.104627422491,33.5307972894986,3414,Washington Park,1
